ID	Original Text	Translated Text
2393	Welcome to the Grey Huntsmen! Youâ€™ll receive a message through long range comms when a new wanted notice has been declared. Accept the job if you want it, decline if you donâ€™t. Easy as that. Just make sure that if you dedicate yourself to a job, you get it done. Our hunters are known for their efficiency.	Bienvenue chez les Chasseurs Gris ! Vous recevrez un message par les communications longue distance lorsqu'un nouvel avis de recherche aura été déclaré. Acceptez le travail si vous le voulez, refusez si vous ne le voulez pas. C'est aussi simple que cela. Assurez-vous simplement que si vous vous consacrez à un travail, vous le faites. Nos chasseurs sont connus pour leur efficacité.
2394	Thatâ€™s unfortunate, but youâ€™re always welcome to come back if you change your mind.	C'est malheureux, mais vous êtes toujours le bienvenu si vous changez d'avis.
2395	If you want to join, youâ€™ll need to consent to a contract. It states that jobs accepted through the Grey Huntsmen Bounty Agency must be completed promptly or theyâ€™ll be handed off to another crew. To receive the reward stated in the bounty, the target ship or ships must be destroyed. Capturing them wonâ€™t fulfill the terms of the bounty, since many of these ships have longstanding reputations. Do you agree to the terms?	Si vous voulez nous rejoindre, vous devrez accepter un contrat. Il stipule que les missions acceptées par l'agence de primes des chasseurs gris doivent être accomplies rapidement ou elles seront confiées à un autre équipage. Pour recevoir la récompense indiquée dans la prime, le ou les vaisseaux cibles doivent être détruits. Les capturer ne remplira pas les conditions de la prime, car beaucoup de ces navires ont des réputations de longue date. Acceptez-vous les termes de la prime ?
2396	The agency is about half a century old, speaking in Union-standard terms. From what I understand, several captains from different factions gathered around a table and decided to form a cooperative organization in order to bring especially pesky criminals to justice. Eventually, the organization became known as the Grey Huntsmen Bounty Agency. Among our ranks, we have combat-savvy civilians, Colonial Union officers and W.D. employees looking to pick up extra work, even some Alliance members Iâ€™d guess. Thinking of joining us?	L'agence a environ un demi-siècle, si l'on parle en termes de normes de l'Union. D'après ce que j'ai compris, plusieurs capitaines de différentes factions se sont réunis autour d'une table et ont décidé de former une organisation coopérative afin de traduire en justice les criminels particulièrement ennuyeux. Cette organisation a fini par être connue sous le nom d'Agence de primes des chasseurs gris. Dans nos rangs, nous avons des civils rompus au combat, des officiers de l'Union Coloniale et des employés de W.D. qui cherchent à faire du travail supplémentaire, et même quelques membres de l'Alliance, je suppose. Vous envisagez de nous rejoindre ?
2397	The galaxy is a dangerous place these days. There are many ships that take the inherent freedom of fringe galaxies to an extreme and live in utter lawlessness. They commit brazen crimes against any ship that comes their way, regardless of faction affiliation. As the Colonial Union is shorthanded, officers are not able to handle every case on their own. Thus, bounties are placed on the ships that no one else can subdue. I work for the Grey Huntsmen Bounty Agency. We compile wanted notices from across the galaxy and offer them to able crews within our membership. If you think you can handle the work, I urge you to sign up. Weâ€™re always looking to recruit new hunters. Plus, the work runs more smoothly when thereâ€™s a little friendly competition.	La galaxie est un endroit dangereux de nos jours. De nombreux vaisseaux poussent à l'extrême la liberté inhérente aux galaxies marginales et vivent dans l'anarchie la plus totale. Ils commettent des crimes effrontés contre tout vaisseau qui se présente à eux, quelle que soit son appartenance à une faction. L'Union coloniale étant en sous-effectif, les officiers ne sont pas en mesure de traiter tous les cas à eux seuls. Ainsi, les primes sont placées sur les vaisseaux que personne d'autre ne peut maîtriser. Je travaille pour l'agence de primes des Chasseurs Gris. Nous compilons les avis de recherche de toute la galaxie et les proposons aux équipages compétents de nos membres. Si vous pensez pouvoir faire ce travail, je vous invite à vous inscrire. Nous cherchons toujours à recruter de nouveaux chasseurs. De plus, le travail est plus facile quand il y a une petite compétition amicale.
2398	The agency is about half a century old, speaking in Union-standard terms. From what I understand, several captains from different factions gathered around a table and decided to form a cooperative organization in order to bring especially pesky criminals to justice. Eventually, the organization became known as the Grey Huntsmen Bounty Agency. Among our ranks, we have combat-savvy civilians, Colonial Union officers and W.D. employees looking to pick up extra work, even some Alliance members Iâ€™d guess.	L'agence a environ un demi-siècle, si l'on parle en termes de normes de l'Union. D'après ce que j'ai compris, plusieurs capitaines de différentes factions se sont réunis autour d'une table et ont décidé de former une organisation coopérative afin de traduire en justice les criminels particulièrement ennuyeux. Cette organisation a fini par être connue sous le nom d'Agence de primes des chasseurs gris. Dans nos rangs, nous avons des civils rompus au combat, des officiers de l'Union Coloniale et des employés de W.D. qui cherchent à faire du travail supplémentaire, et même quelques membres de l'Alliance, je suppose.
2399	Done and done. Youâ€™ll no longer receive updates on the latest bounties. Sad to see you go, but good luck out there.	C'est fait et c'est fait. Vous ne recevrez plus de mises à jour sur les dernières primes. C'est triste de vous voir partir, mais bonne chance.
2400	Glad to have you back on board. Let me know if thereâ€™s anything else I can do for you.	Heureux de vous avoir à nouveau à bord. Faites-moi savoir s'il y a autre chose que je puisse faire pour vous.
2401	Youâ€™re opting out of the job assignment program? Well, thatâ€™s disappointing to hear, but I can help you quit if itâ€™s what you want. You sure about this?	Vous ne voulez pas participer au programme d'affectation ? Eh bien, c'est décevant Ã entendre, mais je peux vous aider Ã abandonner si c'est ce que vous voulez. Vous êtes sûr de ça ?
2402	Greetings to a fellow huntsman. What brings you out this way?	Salutations à un collègue chasseur. Qu'est-ce qui vous amène par ici ?
2403	Hello again. How are your travels going?	Rebonjour. Comment se passent vos voyages ?
2404	Greetings, [PLAYERSHIP_NAME]. I am the Alchemist. No doubt youâ€™ve heard of me, yes? If you havenâ€™t, then I believe it is time for us to get acquainted. Let me demonstrate just how primitive the Colonial Unionâ€™s technology is. Ready yourselves for battle, officers.	Salutations, [PLAYERSHIP_NAME]. Je suis l'Alchimiste. Vous avez sans doute entendu parler de moi, non ? Si ce n'est pas le cas, je crois qu'il est temps pour nous de faire connaissance. Laissez-moi vous montrer à quel point la technologie de l'Union coloniale est primitive. Préparez-vous au combat, officiers.
2405	Ah, look what we have here. The W.D. Corporation has caught wind of my experiment. Come to admire my ship, have you? Pity, you wonâ€™t be admiring it for long.	Ah, regardez ce que nous avons là. La W.D. Corporation a eu vent de mon expérience. Vous êtes venus admirer mon vaisseau, n'est-ce pas ? Dommage, vous ne l'admirerez pas longtemps.
2406	You made a wise choice, friends. I suggest you be on your way before we find a more compelling reason to exchange fire.	Vous avez fait un choix judicieux, mes amis. Je vous suggère de partir avant que nous trouvions une raison plus convaincante d'échanger des tirs.
2407	Then you will not be spared. It is time for you to learn why they call me the Alchemist.	Alors vous ne serez pas épargnés. Il est temps pour vous d'apprendre pourquoi on m'appelle l'Alchimiste.
2408	I know an Alliance of Gentlemen ship when I see one. Greetings, [PLAYERSHIP_NAME]. I am the one they call the Alchemist. It was an old moniker from my own days a Gentlemen, you see. As I still harbor a small affection for the Alliance, Iâ€™d be willing to let you leave this sector unscathed for a meager sum of 5,000 credits. What will be your decision?	Je sais reconnaître un vaisseau de l'Alliance des Gentlemen quand j'en vois un. Salutations, [PLAYERSHIP_NAME]. Je suis celui qu'on appelle l'Alchimiste. C'est un vieux surnom qui date de l'époque où j'étais un Gentleman, vous voyez. Comme j'ai encore un peu d'affection pour l'Alliance, je suis prêt à vous laisser quitter ce secteur indemne pour une maigre somme de 5 000 crédits. Quelle sera votre décision ?
2409	You pesky Fluffy Biscuit ships go wherever you please, donâ€™t you? Itâ€™s a rather flawed part of your business modelâ€”wandering off where you donâ€™t belong.	Vous, les navires de Fluffy Biscuit, allez où vous voulez, n'est-ce pas ? C'est une partie plutôt défectueuse de votre modèle d'entreprise : errer là où vous n'êtes pas à votre place.
2410	It is scorching out here, isnâ€™t it? But I worry if I take off my suit, Iâ€™ll freeze on that ice planet. What a dilemma.	Il fait chaud ici, n'est-ce pas ? Mais j'ai peur que si j'enlève ma combinaison, je gèle sur cette planète de glace. Quel dilemme.
2411	Have you tried the drinks at Kowz Retreat? Theyâ€™re quite wonderful.	Avez-vous essayé les boissons du Kowz Retreat ? Elles sont assez merveilleuses.
2412	Unless you have business with the Seer, I suggest you move along.	A moins que vous n'ayez à faire avec le devin, je vous suggère de partir.
2413	Is there a problem?	Y a-t-il un problème ?
2414	It isnâ€™t often that people come up here. I appreciate the company. If you see anything strange out in the desert, be sure to inform me about it.	Ce n'est pas souvent que les gens viennent ici. J'apprécie la compagnie. Si vous voyez quelque chose d'étrange dans le désert, n'oubliez pas de m'en informer.
2415	Are you a traveler? That is good. Be it space or land, an adventurous spirit is an important thing to have. May the stars favor your voyages.	Vous êtes un voyageur ? C'est bien. Que ce soit dans l'espace ou sur terre, un esprit d'aventure est une chose importante à avoir. Que les étoiles favorisent vos voyages.
2416	Come to enjoy the view, have you? Staring out at the sand gives you time to reflect. Personally, I'm remembering the era when there were no humans, androids, or even Sylvassi in this galaxy. Though there was another advanced civilization alive in those days, they often kept to themselves. I'd say you all have livened things up since then.	Vous êtes venu pour profiter de la vue, n'est-ce pas ? Regarder le sable vous donne le temps de réfléchir. Personnellement, je me souviens de l'époque où il n'y avait ni humains, ni androïdes, ni même Sylvassi dans cette galaxie. Bien qu'il y ait eu une autre civilisation avancée à cette époque, elle était souvent très discrète. Je dirais que vous avez tous animé les choses depuis lors.
2417	Rations, tools, souvenirsâ€”â€”I have it all. Take a look at my stock and let me know if anything piques your interest.	"Rations, outils, souvenirsâ€""â€"" j'ai tout cela. Jetez un coup d'oeil à mon stock et faites-moi savoir si quelque chose vous intéresse."
2418	Welcome. Looking for weapons? What suits your needs?	Bienvenue. Vous cherchez des armes ? Qu'est-ce qui vous convient ?
2419	Greetings, my friend! I wanted to thank you again for your contribution to our blind jump records. I hope you will continue on your quest of discovery and stop by every so often to tell us of your findings. Even if you may exercise caution in your warp travel, you truly have the spirit of a blind jumper. Good luck to you.	Salutations, mon ami ! Je tenais à vous remercier encore une fois pour votre contribution à nos dossiers sur les sauts en aveugle. J'espère que vous poursuivrez votre quête de découverte et que vous passerez nous voir de temps en temps pour nous faire part de vos découvertes. Même si vous faites preuve de prudence dans vos voyages en distorsion, vous avez vraiment l'esprit d'un sauteur aveugle. Bonne chance à vous.
2420	There are strange things in the galaxy, many of which remain hidden to all who do not seek them out. However, there is something that we have been trying to track down for quite some time with no success. It is said to be a creature with a great eye that resides in an unmarked sector of space. Only a few have witnessed it, and even fewer have survived such an encounter. If you ever come across the creature in your travels, please let me know. It would be a great addition to our records, and I would surely compensate you for any information you could provide.	Il y a des choses étranges dans la galaxie, dont beaucoup restent cachées à tous ceux qui ne les cherchent pas. Cependant, il y a quelque chose que nous essayons de traquer depuis un certain temps sans succès. On dit qu'il s'agit d'une créature dotée d'un grand œil qui réside dans un secteur non marqué de l'espace. Seuls quelques uns en ont été témoins, et encore moins ont survécu à une telle rencontre. Si vous rencontrez cette créature au cours de vos voyages, faites-le moi savoir. Ce serait un grand ajout à nos archives, et je vous dédommagerai sûrement pour toute information que vous pourrez fournir.
2421	Peculiar Findings	Constatations particulières
2422	Blind jumpers are risk takers. We seek the parts of the galaxy that are not normally reachable by regular jump calculations, and we put ourselves at great risk in order to encounter the unknown. Most blind jumpers have short careers, but we discover strange things in that time and contribute to our greater collection of findings.	Les sauteurs aveugles prennent des risques. Nous recherchons les parties de la galaxie qui ne sont pas normalement accessibles par des calculs de saut normaux, et nous prenons de grands risques afin de rencontrer l'inconnu. La plupart des sauteurs aveugles ont des carrières courtes, mais nous découvrons des choses étranges pendant ce temps et nous contribuons à l'enrichissement de notre collection de découvertes.
2423	Blind Jumpers	Les sauteurs aveugles
2424	Youâ€¦found the creature? That is most impressive! Please recount everything you can of it, and I will be certain to add it to our records! Ah, and allow me to compensate you for your great contribution. I hope 7000 credits will suffice.	Vous avez trouvé la créature ? C'est très impressionnant ! S'il vous plaît, racontez tout ce que vous pouvez, et je serai sûr de l'ajouter à nos dossiers ! Ah, et permettez-moi de vous dédommager pour votre grande contribution. J'espère que 7000 crédits suffiront.
2425	V'uurog	V'uurog
2426	Are you an aspiring blind jumper? Weâ€™re happy to see more people interested in our profession. If you come across anything peculiar amid your warp travels, we would be glad to hear about it.	Etes-vous un sauteur aveugle en herbe ? Nous sommes heureux de voir que plus de gens s'intéressent à notre profession. Si vous rencontrez quelque chose de particulier au cours de vos voyages en distorsion, nous serions heureux de l'entendre.
2427	Did you come to the Burrow for the arena? Lots of people do, but I prefer to stay away from it. Gambling there is a surefire way to lose all your credits.	Es-tu venu au Brouillard pour l'arène ? Beaucoup de gens le font, mais je préfère en rester éloigné. Jouer là-bas est un moyen infaillible de perdre tous tes crédits.
2428	If you decide to initiate a blind jump, be prepared to take damage. Blind jumps can be very taxing on a ship. Systems are strained to their breaking points, and the reactor has to compensate for what is a potentially destructive process. Particularly when exiting warp, watch your engineering system closely and always keep a good repair tool on hand.	Si vous décidez d'effectuer un saut en aveugle, préparez-vous à subir des dégâts. Les sauts aveugles peuvent être très éprouvants pour un vaisseau. Les systèmes sont sollicités jusqu'à leur point de rupture, et le réacteur doit compenser ce qui est un processus potentiellement destructeur. En particulier en sortie de distorsion, surveillez attentivement votre système d'ingénierie et gardez toujours un bon outil de réparation à portée de main.
2429	If you need research materials for your own work, speak with Kavin over there. He orders his supplies in bulk, so he probably has extra samples in his stores. Just ask, and heâ€™ll be glad to help you out.	Si vous avez besoin de matériel de recherche pour votre propre travail, parlez à Kavin là-bas. Il commande ses fournitures en gros, donc il a probablement des échantillons supplémentaires dans ses magasins. Il suffit de demander, et il sera heureux de vous aider.
2430	Research Supplies	Fournitures de recherche
2431	What do you need? Iâ€™d be happy to assist you however I can.	De quoi avez-vous besoin ? Je serais heureux de vous aider comme je peux.
2432	You bought me out. I have no more spare research materials in my stock. Thanks for the business, and good luck with your research!	Tu m'as racheté. Je n'ai plus de matériel de recherche en réserve dans mon stock. Merci pour l'affaire, et bonne chance dans vos recherches !
2433	Sorry, I have no more Staman materials in stock.	Désolé, je n'ai plus de matériel Staman en stock.
2434	My apologies, but it doesnâ€™t seem like you have enough credits to purchase Staman supplies from my stock. Come back another time then.	Mes excuses, mais il semble que vous n'ayez pas assez de crédits pour acheter des fournitures Staman de mon stock. Revenez une autre fois alors.
2435	Thanks for the trade! I hope it serves you well.	Merci pour l'échange ! J'espère qu'il vous servira bien.
2436	Sargastia Tribulen [1000 credits]	Sargastia Tribulen [1000 crédits]
2437	Looking for something with Stamans, are you? My preferred source is Sargastia Tribulen, since itâ€™s so easy to keep. Do you want to buy a sample? I can part with it for 1000 credits.	Tu cherches quelque chose avec des Stamans, n'est-ce pas ? Ma source préférée est Sargastia Tribulen, car elle est si facile à garder. Voulez-vous acheter un échantillon ? Je peux m'en séparer pour 1000 crédits.
2438	Stamans [Blue]	Stamans [Bleu]
2439	Sorry, I have no more Aedificiate materials in stock.	Désolé, je n'ai plus de matériaux Aedificiate en stock.
2440	My apologies, but it doesnâ€™t seem like you have enough credits to purchase Aedificiate supplies from my stock. Come back another time then.	Mes excuses, mais il semble que vous n'ayez pas assez de crédits pour acheter des fournitures d'Aedificiate dans mon stock. Revenez une autre fois alors.
2441	Thanks for the trade! Just be careful with bulbtooth. It can be difficult to handle due to those spikes, so take care not to cut yourself.	Merci pour l'échange ! Soyez juste prudent avec le bulbtooth. Il peut être difficile à manipuler en raison de ces pointes, alors faites attention à ne pas vous couper.
2442	Bulbtooth [1500 credits]	Bulbtooth [1500 crédits]
2443	Thanks for the trade! It was a bit difficult to acquire this sample of Gracilia Floris, but itâ€™ll do you more good than it will sitting on my storage shelf.	Merci pour l'échange ! Il a été un peu difficile d'acquérir cet échantillon de Gracilia Floris, mais il vous fera plus de bien qu'il ne restera sur mon étagère.
2444	Gracilia Floris [1500 credits]	Gracilia Floris [1500 crédits]
2445	I have some options for Aedificiates. What are you interested in?	J'ai quelques options pour les Edificateurs. Qu'est-ce qui vous intéresse ?
2446	Aedificiates [Gold]	Édificateurs [Or]
2447	Sorry, I have no more Aevamere materials in stock.	Désolé, je n'ai plus de matériel Aevamere en stock.
2448	My apologies, but it doesnâ€™t seem like you have enough credits to purchase Aevamere supplies from my stock. Come back another time then.	Mes excuses, mais il semble que vous n'ayez pas assez de crédits pour acheter des fournitures d'Aevamere dans mon stock. Revenez une autre fois alors.
2449	Thanks for the trade! Samples of AC-88436 are very easy to store since theyâ€™re fairly weightless. Much more manageable than creeping lung, in my opinion.	Merci pour l'échange ! Les échantillons d'AC-88436 sont très faciles à stocker car ils sont assez légers. Beaucoup plus facile à gérer que le poumon rampant, à mon avis.
2450	AC-88436 [2200 credits]	AC-88436 [2200 crédits]
2451	Youâ€™re interested in buying the Creeping Lung? Thank you! Iâ€™ve had this sample for too long, and itâ€™s almost at its peak growth rate. Itâ€™ll get unmanageable soon, so make sure you use it in the next year or so.	Vous êtes intéressé par l'achat du poumon rampant ? Merci ! J'ai cet échantillon depuis trop longtemps, et il a presque atteint son pic de croissance. Il va bientôt devenir ingérable, alors assurez-vous de l'utiliser dans l'année à venir.
2452	Creeping Lung [2200 credits]	Poumon rampant [2200 crédits]
2453	So you need Aevameres. What best suits your needs?	Vous avez donc besoin d'Aevameres. Qu'est-ce qui convient le mieux à vos besoins ?
2454	Aevameres [Green]	Aevameres [Vert]
2455	Sorry, I have no more Sensusite materials in stock.	Désolé, je n'ai plus de matériaux Sensusite en stock.
2456	My apologies, but it doesnâ€™t seem like you have enough credits to purchase Sensusite supplies from my stock. Come back another time then.	Mes excuses, mais il semble que vous n'ayez pas assez de crédits pour acheter des fournitures Sensusite de mon stock. Revenez une autre fois alors.
2457	Fenrasil [2500 credits]	Fenrasil [2500 crédits]
2458	Sensusites? Got it. I only have Fenrasil in storage, but itâ€™s widely considered one of the best materials for Sesusite research. It should serve your needs.	Sensusites ? Je l'ai. Je n'ai que du Fenrasil en stock, mais il est largement considéré comme l'un des meilleurs matériaux pour la recherche de Sesusite. Ça devrait répondre à vos besoins.
2459	Sensusites [Purple]	Sensusites [Pourpre]
2460	Sorry, I have no more Mutoumate materials in stock.	Désolé, je n'ai plus de matériel Mutoumate en stock.
2461	My apologies, but it doesnâ€™t seem like you have enough credits to purchase Mutoumate supplies from my stock. Come back another time then.	Mes excuses, mais il semble que vous n'ayez pas assez de crédits pour acheter des fournitures Mutoumate de mon stock. Revenez une autre fois alors.
2462	Thanks for the trade! I donâ€™t think this sample should cause you any trouble, but try not to drop it. Iâ€™ve noticed it gets hotter if its surface scrapes anything.	Merci pour l'échange ! Je ne pense pas que cet échantillon devrait vous causer des problèmes, mais essayez de ne pas le faire tomber. J'ai remarqué qu'il devient plus chaud si sa surface écrase quelque chose.
2463	HG-77328 [3800 credits]	HG-77328 [3800 crédits]
2464	Thanks for the trade! Waxthorn is manageable enough, so long as you donâ€™t poke yourself with its thorn. It excretes some kind of poison, but thereâ€™s no known antidote. Just wear a suit when handling it and youâ€™ll be fine.	Merci pour l'échange ! L'épine de cire est assez facile à gérer, tant que vous ne vous piquez pas avec son épine. Elle excrète une sorte de poison, mais il n'y a pas d'antidote connu. Portez simplement une combinaison lorsque vous la manipulez et tout ira bien.
2465	Waxthorn [3800 credits]	Epine-vinette [3800 crédits]
2466	So you need something a little more unpredictable, do you? I donâ€™t know what sort of research youâ€™re conducting, but try to stay safe. What are you thinking of buying?	Donc vous avez besoin de quelque chose d'un peu plus imprévisible, n'est-ce pas ? Je ne sais pas quel genre de recherche vous faites, mais essayez de rester en sécurité. Qu'est-ce que tu penses acheter ?
2467	Mutoumates [White]	Mutoumates [Blanc]
2468	Sorry, I have no more Vortosite materials in stock.	Désolé, je n'ai plus de matériaux Vortosite en stock.
2469	My apologies, but it doesnâ€™t seem like you have enough credits to purchase Vortosite supplies from my stock. Come back another time then.	Mes excuses, mais il semble que vous n'ayez pas assez de crédits pour acheter des fournitures Vortosite de mon stock. Revenez une autre fois alors.
2470	SD-10899 [5000 credits]	SD-10899 [5000 crédits]
2471	Vortosites. I should have known youâ€™d ask. I have one sample of SD-10899, and it was very difficult to get my hands on. Itâ€™ll be tough to part with it. But considering I have no use for it, Iâ€™ll sell it to you for 5000 credits.	Vortosites. J'aurais dû savoir que tu demanderais. J'ai un échantillon du SD-10899, et il a été très difficile de mettre la main dessus. Ca va être dur de s'en séparer. Mais vu que je n'en ai pas l'utilité, je vous le vends pour 5000 crédits.
2472	Vortosites [Black]	Vortosites [Noir]
2473	I do have some spare research samples. If thereâ€™s a particular material you need, Iâ€™d be happy to sell it to you. Would you like to browse what I have in my stock?	J'ai quelques échantillons de recherche en réserve. Si vous avez besoin d'un matériel particulier, je serais heureux de vous le vendre. Vous voulez voir ce que j'ai en stock ?
2474	Research Materials	Matériaux de recherche
2475	Hm? Oh, my apologies. Sometimes I get so wrapped up in work, I donâ€™t notice when someone is talking to me. Is there something I can do for you?	Hm ? Oh, mes excuses. Parfois je suis tellement absorbé par le travail que je ne remarque pas quand quelqu'un me parle. Y a-t-il quelque chose que je puisse faire pour vous ?
2476	I studied pervasive alien species for many years before I came to this galaxy. Although I never worked with the Infected, I have seen them before. Many years ago, I was studying the spread of a fungus between several planetary systems when the Infected were exposed to the galaxy in which I was working. I managed to leave in time, but not before I had witnessed entire worlds consumed by the Infectedâ€™s corrupting auras. Still, after all this time, no one has figured out how to limit their spread. As unfortunate as it sounds, the Colonial Union may have severed our intergalactic warp in order to quarantine us and keep the Infected from spreading to any major galaxies.	J'ai étudié les espèces extraterrestres envahissantes pendant de nombreuses années avant de venir dans cette galaxie. Bien que je n'ai jamais travaillé avec les Infectés, je les ai déjà vus. Il y a de nombreuses années, j'étudiais la propagation d'un champignon entre plusieurs systèmes planétaires lorsque les Infectés ont été exposés à la galaxie dans laquelle je travaillais. J'ai réussi à partir à temps, mais pas avant d'avoir vu des mondes entiers consumés par les auras corruptrices des Infectés. Pourtant, après tout ce temps, personne n'a trouvé le moyen de limiter leur propagation. Aussi malheureux que cela puisse paraître, l'Union Coloniale a peut-être coupé notre distorsion intergalactique pour nous mettre en quarantaine et empêcher les infectés de se répandre dans les grandes galaxies.
2477	I didnâ€™t mind unflagging your ship once, but I have other business to worry about now. If you need your ship unflagged again, Iâ€™d suggest visiting a free port. Most offer unflagging services.	Ça ne m'a pas dérangé de débloquer votre vaisseau une fois, mais j'ai d'autres affaires à régler maintenant. Si vous avez besoin que votre navire soit à nouveau dépavillonné, je vous suggère de visiter un port franc. La plupart offrent des services de changement de pavillon.
2478	Pleasure doing business with you. May the stars favor your voyages.	C'est un plaisir de faire affaire avec vous. Que les étoiles favorisent vos voyages.
2479	Your ship isnâ€™t flagged. You are aware of that, right? Come back when youâ€™re in actual need of my assistance.	Votre vaisseau n'est pas sous pavillon. Vous êtes au courant de ça, n'est-ce pas ? Revenez quand vous aurez vraiment besoin de mon aide.
2480	Suit yourself. And try to omit me from your next report to the Command Center, all right?	Comme vous voulez. Et essayez de m'omettre dans votre prochain rapport au centre de commande, d'accord ?
2481	If youâ€™re asking as a Colonial Union officer, I have no idea what youâ€™re talking about. If youâ€™re asking as a fellow spacefarer who needs to get out of a sticky situation, then maybe I can help you out. In which case, it would be 5000 credits to remove the flagged status on your ship. Hypothetically, of course. So do you need such services or not?	Si vous me demandez ça en tant qu'officier de l'Union Coloniale, je n'ai aucune idée de ce dont vous parlez. Si vous demandez en tant que collègue spationaute qui a besoin de se sortir d'une situation délicate, alors je peux peut-être vous aider. Dans ce cas, il faudrait 5000 crédits pour retirer le statut de pavillon de votre vaisseau. Hypothétiquement, bien sûr. Alors, avez-vous besoin de tels services ou non ?
2482	Suit yourself. Come back if you change your mind.	Faites comme bon vous semble. Revenez si vous changez d'avis.
2483	Need yourself unflagged? I know a few tricks that could help you out. For 5000 credits, I can remove the flagged status on your ship. Do we have a deal?	Vous avez besoin d'être débloqué ? Je connais quelques astuces qui pourraient vous aider. Pour 5000 crédits, je peux retirer le statut de pavillon à votre vaisseau. Nous avons un accord ?
2484	I run a shipping business that works between most of the major hubs in the galaxy. Outpost 448, Cornelia Station, the Harbor, even here at the Burrowâ€”â€”my ships are everywhere. Business is good and we maintain amicable relations with the Colonial Union, but even we find it hard to keep up with all the regulations these days. If you find yourselves flagged for some reason, get the flagged status removed fast. It can mean big trouble.	Je dirige une entreprise d'expédition qui travaille entre la plupart des grands hubs de la galaxie. L'avant-poste 448, la station Cornelia, le port, et même ici, au terrier... mes vaisseaux sont partout. Les affaires sont bonnes et nous entretenons des relations amicales avec l'Union coloniale, mais même nous avons du mal à suivre toutes les réglementations de nos jours. Si vous vous retrouvez sous pavillon pour une raison ou une autre, faites vite retirer ce statut. Cela peut signifier de gros problèmes.
2485	Youâ€™ve seen the bar at the center of the outpost, no doubt. Kowz Retreat is hard to miss. It sprang up a few years ago, and it has quickly become the centerpiece of this settlement. If it hadnâ€™t been built here, I doubt this place would be as prosperous as it is today.	Vous avez sans doute vu le bar au centre de l'avant-poste. Le Kowz Retreat est difficile à manquer. Il a vu le jour il y a quelques années, et il est rapidement devenu la pièce maîtresse de cette colonie. S'il n'avait pas été construit ici, je doute que cet endroit soit aussi prospère qu'il ne l'est aujourd'hui.
2486	A few of us werenâ€™t all too happy to see a Colonial Union research station built here. No one wanted this place to turn into another Outpost 448. After a year of the Colonial Union researchers working here, however, I have to say Iâ€™m glad to have them around. Theyâ€™re nice enough folk, and being that theyâ€™re doctors, their skills come in handy every now and then.	Certains d'entre nous n'étaient pas très heureux de voir une station de recherche de l'Union Coloniale construite ici. Personne ne voulait que cet endroit devienne un autre avant-poste 448. Mais après un an de travail des chercheurs de l'Union coloniale, je dois dire que je suis content de les avoir dans le coin. Ce sont des gens assez sympathiques, et comme ce sont des médecins, leurs compétences sont utiles de temps en temps.
2487	Sylvassi brew has become a popular beverage in bars intergalactically. Itâ€™s often praised for its subtle yet complex flavor profile as well as its relatively cheap price. But what people donâ€™t often acknowledge is how the brew originated. The Sylvassi created the recipe on one of their designated commune worlds, and many of them have found stable work in its production. As Sylvassi brew rises in popularity, it is my hope that the drink will help bring the Sylvassi and human species more peacefully together. Oddly enough, this drink is the first time our speciesâ€™ tastes ever have aligned.	Le breuvage Sylvassi est devenu une boisson populaire dans les bars intergalactiques. Elle est souvent louée pour son profil de saveurs subtiles mais complexes, ainsi que pour son prix relativement bas. Mais ce que les gens ne reconnaissent pas souvent, c'est l'origine de ce breuvage. Les Sylvassi ont créé la recette sur l'une de leurs communes désignées, et beaucoup d'entre eux ont trouvé un emploi stable dans sa production. Alors que le breuvage Sylvassi gagne en popularité, j'espère que cette boisson aidera à rapprocher les espèces Sylvassi et humaines de manière plus pacifique. Assez curieusement, cette boisson est la première fois que les goûts de nos espèces s'alignent.
2488	I hope the Burrow has been treating you well. Be sure to come back to the bar when you need a refreshment. Itâ€™s the only practical place you can find a drink in this desert, I can assure you of that.	J'espère que le terrier vous a bien traité. N'oubliez pas de revenir au bar quand vous aurez besoin d'un rafraîchissement. C'est le seul endroit pratique où vous pouvez trouver une boisson dans ce désert, je peux vous l'assurer.
2489	Have you met those blind jumpers that camp out in the cave at the top of the Burrow? Theyâ€™re crazy, if you ask me. Many foolish feats have been done for the sake of discovery. However, activating a blind warp in anything less than a dire situation is high up on that list.	As-tu rencontré ces sauteurs aveugles qui campent dans la grotte en haut du terrier ? Ils sont fous, si vous voulez mon avis. De nombreux exploits insensés ont été réalisés pour le plaisir de la découverte. Cependant, activer une distorsion aveugle dans une situation qui n'est pas désespérée figure en haut de cette liste.
2490	Welcome to Kowz Retreat. What will you be drinking today?	Bienvenue à la retraite Kowz. Que boirez-vous aujourd'hui ?
2491	Our crew is taking a rest here after several months of space travel. Weâ€™ve gone from sector to sector, station to station with hardly a break in between. Iâ€™ve been stuck inside metal rooms for so long, I canâ€™t express how glad I am to see a sky again.	Notre équipage fait une pause ici après plusieurs mois de voyage dans l'espace. Nous sommes allés de secteur en secteur, de station en station avec à peine une pause entre les deux. J'ai été coincé à l'intérieur de pièces métalliques pendant si longtemps, je ne peux exprimer à quel point je suis heureux de revoir un ciel.
